FIPS,WSI
13199,0.376
13201,0.464
13205,0.499
13207,0.419
13209,0.540
13211,0.500
13213,0.266
13215,0.386
13217,0.414
13219,0.507
13221,0.436
13223,0.310
13225,0.486
13227,0.294
13229,0.618
13231,0.404
13233,0.282
13235,0.504
13237,0.501
13239,0.387
13241,0.210
13243,0.419
13245,0.389
13247,0.409
13249,0.456
13251,0.564
13253,0.475
13255,0.404
13257,0.267
13259,0.393
13261,0.472
13263,0.393
13265,0.544
13267,0.571
13269,0.402
13271,0.490
13273,0.449
13275,0.494
13277,0.584
13279,0.564
13281,0.232
13283,0.536
13285,0.332
13287,0.579
13289,0.485
13291,0.228
13293,0.402
13295,0.273
13297,0.450
13299,0.668
13301,0.577
13303,0.560
13305,0.591
13307,0.467
13309,0.518
13311,0.255
13313,0.270
13315,0.528
13317,0.468
13319,0.519
13321,0.528
16001,1.974
16003,0.581
16005,3.569
16007,3.835
16009,0.333
16011,100.000
16013,1.747
16015,0.380
16017,0.356
16019,1.072
16021,0.253
16023,2.243
16025,1.108
16027,100.000
16029,2.509
16031,100.000
16033,2.030
16035,0.232
16037,0.823
16039,0.761
16041,15.381
16043,0.388
16045,0.631
16047,100.000
16049,0.358
16051,100.000
16053,100.000
16055,0.322
16057,0.571
16059,0.888
16061,0.399
16063,3.255
16065,1.027
16067,100.000
16069,0.495
16071,100.000
16073,3.210
16075,1.607
16077,100.000
16079,0.246
16081,1.034
16083,100.000
16085,0.381
16087,0.796
17001,0.555
17003,0.531
17005,0.550
17007,0.547
17009,0.571
17011,0.494
17013,0.551
17015,0.562
17017,0.578
17019,0.498
17021,0.601
17023,0.447
17025,0.449
17027,0.538
17029,0.481
17031,0.316
17033,0.458
17035,0.468
17037,0.540
17039,0.545
17041,0.485
17043,0.395
17045,0.434
17047,0.420
17049,0.460
17051,0.511
17053,0.511
17055,0.460
17057,0.694
17059,0.368
17061,0.574
17063,0.459
17065,0.403
17067,0.571
17069,0.331
17071,0.561
17073,0.583
17075,0.467
17077,0.497
17079,0.468
17081,0.457
17083,0.597
17085,0.562
17087,0.358
17089,0.546
17091,0.436
17093,0.488
17095,0.562
17097,0.421
17099,0.527
17101,0.451
17103,0.569
17105,0.530
17107,0.534
17109,0.594
17111,0.554
17113,0.551
17115,0.569
17117,0.634
17119,0.569
17121,0.486
17123,0.450
17125,0.573
17127,0.377
17129,0.579
17131,0.564
17133,0.559
17135,0.569
17137,0.540
17139,0.510
17141,0.572
17143,0.493
17145,0.466
17147,0.546
17149,0.557
17151,0.328
17153,0.381
17155,0.452
17157,0.661
17159,0.442
17161,0.585
17163,0.559
17165,0.362
17167,0.601
17169,0.527
17171,0.546
17173,0.513
17175,0.563
17177,0.562
17179,0.535
17181,0.510
17183,0.462
17185,0.397
17187,0.561
17189,0.506
17191,0.445
17193,0.429
17195,0.571
17197,0.403
17199,0.429
17201,0.562
17203,0.519
18001,0.460
18003,0.475
18005,0.369
18007,0.449
18009,0.434
18011,0.422
18013,0.358
18015,0.448
18017,0.445
18019,0.359
18021,0.380
18023,0.438
18025,0.326
18027,0.372
18029,0.359
18031,0.361
18033,0.455
18035,0.414
18037,0.329
18039,0.440
18041,0.364
18043,0.341
18045,0.423
18047,0.364
18049,0.433
18051,0.370
18053,0.446
18055,0.376
18057,0.401
18059,0.377
18061,0.328
18063,0.388
18065,0.380
18067,0.440
18069,0.459
18071,0.355
18073,0.456
18075,0.445
18077,0.372
18079,0.352
18081,0.387
18083,0.392
18085,0.435
18087,0.442
18089,0.389
18091,0.422
18093,0.352
18095,0.403
18097,0.422
18099,0.427
18101,0.353
18103,0.452
18105,0.365
18107,0.430
18109,0.399
18111,0.453
18113,0.447
18115,0.350
18117,0.344
18119,0.374
18121,0.423
18123,0.320
18125,0.348
18127,0.417
18129,0.388
18131,0.430
18133,0.383
18135,0.412
18137,0.354
18139,0.378
18141,0.437
18143,0.351
18145,0.376
18147,0.326
18149,0.430
18151,0.447
18153,0.422
18155,0.360
18157,0.426
18159,0.416
18161,0.375
18163,0.361
18165,0.439
18167,0.424
18169,0.448
18171,0.430
18173,0.342
18175,0.335
18177,0.364
18179,0.467
18181,0.430
18183,0.431
19001,0.698
19003,0.726
19005,0.647
19007,0.561
19009,0.716
19011,0.557
19013,0.558
19015,0.707
19017,0.552
19019,0.540
19021,0.795
19023,0.576
19025,0.738
19027,0.753
19029,0.712
19031,0.537
19033,0.594
19035,0.947
19037,0.549
19039,0.678
19041,0.896
19043,0.596
19045,0.564
19047,0.913
19049,0.747
19051,0.591
19053,0.673
19055,0.571
19057,0.568
19059,0.911
19061,0.589
19063,0.808
19065,0.568
19067,0.602
19069,0.572
19071,0.863
19073,0.741
19075,0.556
19077,0.743
19079,0.623
19081,0.630
19083,0.611
19085,1.126
19087,0.602
19089,0.578
19091,0.749
19093,0.901
19095,0.580
19097,0.562
19099,0.601
19101,0.605
19103,0.580
19105,0.550
19107,0.588
19109,0.759
19111,0.624
19113,0.564
19115,0.586
19117,0.621
19119,1.173
19121,0.681
19123,0.607
19125,0.653
19127,0.588
19129,0.870
19131,0.571
19133,1.074
19135,0.634
19137,0.766
19139,0.568
19141,0.966
19143,0.969
19145,0.812
19147,0.841
19149,1.338
19151,0.766
19153,0.716
19155,1.109
19157,0.582
19159,0.685
19161,0.814
19163,0.554
19165,0.894
19167,1.305
19169,0.603
19171,0.573
19173,0.709
19175,0.683
19177,0.617
19179,0.633
19181,0.680
19183,0.591
19185,0.596
19187,0.753
19189,0.699
19191,0.608
19193,1.130
19195,0.609
19197,0.639
20001,0.729
20003,0.711
20005,1.043
20007,2.609
20009,100.000
20011,0.535
20013,0.997
20015,0.892
20017,0.946
20019,0.645
20021,0.539
20023,100.000
20025,54.370
20027,5.173
20029,6.652
20031,0.861
20033,6.448
20035,1.220
20037,0.552
20039,100.000
20041,2.394
20043,1.368
20045,0.822
20047,100.000
20049,0.663
20051,17.617
20053,9.289
20055,100.000
20057,100.000
20059,0.722
20061,4.024
20063,100.000
20065,100.000
20067,100.000
20069,100.000
20071,100.000
20073,0.651
20075,100.000
20077,1.404
20079,1.938
20081,100.000
20083,100.000
20085,0.882
20087,0.835
20089,8.327
20091,0.652
20093,100.000
20095,1.513
20097,100.000
20099,0.628
20101,100.000
20103,0.960
20105,5.985
20107,0.647
20109,100.000
20111,0.884
20113,1.917
20115,1.155
20117,1.323
20119,100.000
20121,0.669
20123,5.134
20125,0.644
20127,1.142
20129,100.000
20131,1.005
20133,0.649
20135,72.325
20137,100.000
20139,0.740
20141,11.494
20143,4.391
20145,100.000
20147,97.318
20149,1.071
20151,100.000
20153,100.000
20155,5.704
20157,5.629
20159,5.055
20161,1.849
20163,14.981
20165,100.000
20167,12.228
20169,3.619
20171,100.000
20173,1.769
20175,100.000
20177,0.920
20179,100.000
20181,100.000
20183,11.059
20185,100.000
20187,100.000
20189,100.000
20191,1.304
20193,100.000
20195,50.368
20197,0.898
20199,100.000
20201,2.378
20203,100.000
20205,0.653
20207,0.733
20209,1.638
21001,0.288
21003,0.310
21005,0.327
21007,0.352
21009,0.307
21011,0.366
21013,0.275
21015,0.355
21017,0.372
21019,0.363
21021,0.324
21023,0.359
21025,0.349
21027,0.313
21029,0.327
21031,0.301
21033,0.304
21035,0.342
21037,0.370
21039,0.305
21041,0.367
21043,0.365
21045,0.292
21047,0.298
21049,0.346
21051,0.312
21053,0.283
21055,0.318
21057,0.296
21059,0.338
21061,0.289
21063,0.379
21065,0.332
21067,0.334
21069,0.357
21071,0.401
21073,0.333
21075,0.313
21077,0.351
21079,0.328
21081,0.340
21083,0.310
21085,0.299
21087,0.288
21089,0.360
21091,0.322
21093,0.302
21095,0.278
21097,0.369
21099,0.289
21101,0.344
21103,0.335
21105,0.304
21107,0.320
21109,0.312
21111,0.356
21113,0.330
21115,0.383
21117,0.361
21119,0.365
21121,0.277
21123,0.296
21125,0.289
21127,0.346
21129,0.335
21131,0.316
21133,0.340
21135,0.358
21137,0.312
21139,0.317
21141,0.309
21143,0.290
21145,0.367
21147,0.264
21149,0.327
21151,0.330
21153,0.360
21155,0.318
21157,0.367
21159,0.387
21161,0.363
21163,0.327
21165,0.349
21167,0.328
21169,0.290
21171,0.301
21173,0.361
21175,0.360
21177,0.309
